operation,dim,train_sample,tolerance,accuracy
sin,1,32,0.05,0.0029
sin,1,64,0.05,0.1471
sin,1,128,0.05,0.2597
sin,1,256,0.05,0.2557
sin,1,512,0.05,0.2909
sin,1,1024,0.05,0.4655
sin,1,2048,0.05,0.4489
sin,1,4096,0.05,0.365
sin,1,8192,0.05,0.5104
sin,1,16384,0.05,0.5712
sin,1,32768,0.05,0.5575
sin,1,65536,0.05,0.6073
sin,1,131072,0.05,0.5733
sin,1,262144,0.05,0.6182
sin,2,32,0.05,0.0
sin,2,64,0.05,0.0
sin,2,128,0.05,0.0
sin,2,256,0.05,0.0
sin,2,512,0.05,0.0
sin,2,1024,0.05,0.0
sin,2,2048,0.05,0.0
sin,2,4096,0.05,0.0
sin,2,8192,0.05,0.0
sin,2,16384,0.05,0.0001
sin,2,32768,0.05,0.0
sin,2,65536,0.05,0.0
sin,2,131072,0.05,0.0001
sin,2,262144,0.05,0.0
sin,3,32,0.05,0.0
sin,3,64,0.05,0.0
sin,3,128,0.05,0.0
sin,3,256,0.05,0.0
sin,3,512,0.05,0.0
sin,3,1024,0.05,0.0
sin,3,2048,0.05,0.0
sin,3,4096,0.05,0.0
sin,3,8192,0.05,0.0
sin,3,16384,0.05,0.0
sin,3,32768,0.05,0.0
sin,3,65536,0.05,0.0
sin,3,131072,0.05,0.0
sin,3,262144,0.05,0.0
sign,1,32,0.05,0.115
sign,1,64,0.05,0.3053
sign,1,128,0.05,0.1189
sign,1,256,0.05,0.0769
sign,1,512,0.05,0.4896
sign,1,1024,0.05,0.4945
sign,1,2048,0.05,0.9939
sign,1,4096,0.05,0.9956
sign,1,8192,0.05,0.998
sign,1,16384,0.05,0.9985
sign,1,32768,0.05,0.9992
sign,1,65536,0.05,0.9995
sign,1,131072,0.05,0.8428
sign,1,262144,0.05,0.9985
sign,2,32,0.05,0.0085
sign,2,64,0.05,0.0023
sign,2,128,0.05,0.0172
sign,2,256,0.05,0.013
sign,2,512,0.05,0.1596
sign,2,1024,0.05,0.1789
sign,2,2048,0.05,0.1063
sign,2,4096,0.05,0.1832
sign,2,8192,0.05,0.2227
sign,2,16384,0.05,0.2752
sign,2,32768,0.05,0.5112
sign,2,65536,0.05,0.5486
sign,2,131072,0.05,0.2955
sign,2,262144,0.05,0.1689
sign,3,32,0.05,0.0
sign,3,64,0.05,0.0
sign,3,128,0.05,0.0
sign,3,256,0.05,0.0
sign,3,512,0.05,0.0003
sign,3,1024,0.05,0.0073
sign,3,2048,0.05,0.0002
sign,3,4096,0.05,0.0
sign,3,8192,0.05,0.0007
sign,3,16384,0.05,0.0
sign,3,32768,0.05,0.0001
sign,3,65536,0.05,0.0001
sign,3,131072,0.05,0.0001
sign,3,262144,0.05,0.0001
cos,1,32,0.05,0.1188
cos,1,64,0.05,0.1744
cos,1,128,0.05,0.1318
cos,1,256,0.05,0.0728
cos,1,512,0.05,0.1485
cos,1,1024,0.05,0.216
cos,1,2048,0.05,0.3086
cos,1,4096,0.05,0.2668
cos,1,8192,0.05,0.4452
cos,1,16384,0.05,0.5785
cos,1,32768,0.05,0.5986
cos,1,65536,0.05,0.5998
cos,1,131072,0.05,0.6
cos,1,262144,0.05,0.4546
cos,2,32,0.05,0.0
cos,2,64,0.05,0.0
cos,2,128,0.05,0.0
cos,2,256,0.05,0.0
cos,2,512,0.05,0.0
cos,2,1024,0.05,0.0001
cos,2,2048,0.05,0.0
cos,2,4096,0.05,0.0001
cos,2,8192,0.05,0.0
cos,2,16384,0.05,0.0001
cos,2,32768,0.05,0.0001
cos,2,65536,0.05,0.0001
cos,2,131072,0.05,0.0
cos,2,262144,0.05,0.0
cos,3,32,0.05,0.0
cos,3,64,0.05,0.0
cos,3,128,0.05,0.0
cos,3,256,0.05,0.0
cos,3,512,0.05,0.0
cos,3,1024,0.05,0.0
cos,3,2048,0.05,0.0
cos,3,4096,0.05,0.0
cos,3,8192,0.05,0.0
cos,3,16384,0.05,0.0
cos,3,32768,0.05,0.0
cos,3,65536,0.05,0.0
cos,3,131072,0.05,0.0
cos,3,262144,0.05,0.0
log,1,32,0.05,0.1507
log,1,64,0.05,0.2402
log,1,128,0.05,0.0568
log,1,256,0.05,0.0225
log,1,512,0.05,0.0489
log,1,1024,0.05,0.0583
log,1,2048,0.05,0.0353
log,1,4096,0.05,0.0145
log,1,8192,0.05,0.0022
log,1,16384,0.05,0.001
log,1,32768,0.05,0.0
log,1,65536,0.05,0.0001
log,1,131072,0.05,0.0027
log,1,262144,0.05,0.0017
log,2,32,0.05,0.0
log,2,64,0.05,0.0003
log,2,128,0.05,0.0009
log,2,256,0.05,0.0003
log,2,512,0.05,0.0021
log,2,1024,0.05,0.0184
log,2,2048,0.05,0.0147
log,2,4096,0.05,0.0414
log,2,8192,0.05,0.0346
log,2,16384,0.05,0.0418
log,2,32768,0.05,0.0471
log,2,65536,0.05,0.012
log,2,131072,0.05,0.0134
log,2,262144,0.05,0.0042
log,3,32,0.05,0.0
log,3,64,0.05,0.0
log,3,128,0.05,0.0
log,3,256,0.05,0.0
log,3,512,0.05,0.0
log,3,1024,0.05,0.0
log,3,2048,0.05,0.0
log,3,4096,0.05,0.0
log,3,8192,0.05,0.0
log,3,16384,0.05,0.0
log,3,32768,0.05,0.0
log,3,65536,0.05,0.0
log,3,131072,0.05,0.0
log,3,262144,0.05,0.0
exp,1,32,0.05,0.0644
exp,1,64,0.05,0.078
exp,1,128,0.05,0.2178
exp,1,256,0.05,0.301
exp,1,512,0.05,0.1111
exp,1,1024,0.05,0.0213
exp,1,2048,0.05,0.0309
exp,1,4096,0.05,0.0083
exp,1,8192,0.05,0.0
exp,1,16384,0.05,0.0
exp,1,32768,0.05,0.0
exp,1,65536,0.05,0.0003
exp,1,131072,0.05,0.0
exp,1,262144,0.05,0.0
exp,2,32,0.05,0.0
exp,2,64,0.05,0.0
exp,2,128,0.05,0.0
exp,2,256,0.05,0.0012
exp,2,512,0.05,0.0026
exp,2,1024,0.05,0.0162
exp,2,2048,0.05,0.0094
exp,2,4096,0.05,0.0052
exp,2,8192,0.05,0.0011
exp,2,16384,0.05,0.0003
exp,2,32768,0.05,0.0002
exp,2,65536,0.05,0.0008
exp,2,131072,0.05,0.0001
exp,2,262144,0.05,0.0
exp,3,32,0.05,0.0
exp,3,64,0.05,0.0
exp,3,128,0.05,0.0
exp,3,256,0.05,0.0
exp,3,512,0.05,0.0
exp,3,1024,0.05,0.0
exp,3,2048,0.05,0.0
exp,3,4096,0.05,0.0
exp,3,8192,0.05,0.0
exp,3,16384,0.05,0.0
exp,3,32768,0.05,0.0
exp,3,65536,0.05,0.0
exp,3,131072,0.05,0.0
exp,3,262144,0.05,0.0
